Target,Actual,Predicted,Residual
Lp,79.9,79.5596,0.3404
Lp,79.9,79.6189,0.2811
Lp,79.9,79.4368,0.4632
Lp,79.9,79.6128,0.2872
Lp,79.9,79.4474,0.4526
Lp,79.9,79.6189,0.2811
Lp,79.9,79.5596,0.3404
Lp,79.9,79.6189,0.2811
Lp,79.9,79.5596,0.3404
Lp,77.8,78.2714,-0.4714
Lp,79.2,78.4405,0.7595
Lp,78.1,78.4313,-0.3313
Lp,79.7,79.299,0.401
Lp,79.4,79.5404,-0.1404
Lp,79.3,79.4714,-0.1714
Lp,79.4,79.5596,-0.1596
Lp,79.3,79.5404,-0.2404
Lp,79.8,79.5596,0.2404
Lp,79.4,79.4368,-0.0368
Lp,79.4,79.5596,-0.1596
Lp,79.4,79.4368,-0.0368
Lp,79.4,79.5404,-0.1404
Lp,79.8,79.6189,0.1811
Lp,79.3,79.4145,-0.1145
Lp,79.4,79.6189,-0.2189
Lp,79.8,79.2954,0.5046
Lp,79.3,79.6128,-0.3128
Lp,79.5,79.5404,-0.0404
Lp,79.4,79.4368,-0.0368
Lp,78.7,78.7501,-0.0501
Lp,79.7,79.4117,0.2883
Lp,79.9,79.5404,0.3596
Lp,79.7,79.299,0.401
Lp,78.9,79.2026,-0.3026
Lp,79.3,78.7667,0.5333
Lp,78.9,79.2026,-0.3026
Lp,79.5,79.2026,0.2974
Lp,78.7,79.2026,-0.5026
Lp,78.8,79.2026,-0.4026
Lp,78.8,79.2686,-0.4686
Lp,78.7,79.2026,-0.5026
Lp,79.2,79.215,-0.015
Lp,78.6,79.215,-0.615
Lp,78.7,79.2026,-0.5026
Lp,78.7,79.0729,-0.3729
Lp,79.4,79.2257,0.1743
Lp,78.1,78.745,-0.645
Lp,79.5,79.308,0.192
Lp,79.3,79.308,-0.008
Lp,79.2,78.7667,0.4333
Lp,79.5,79.308,0.192
Lp,79.6,79.308,0.292
Lp,79.4,79.2727,0.1273
Lp,78.8,78.7448,0.0552
Lp,79.3,79.2686,0.0314
Lp,79.7,79.308,0.392
Lp,78.5,78.8421,-0.3421
Lp,78.6,78.7448,-0.1448
Lp,79.0,78.8414,0.1586
Lp,79.1,79.2515,-0.1515
Lp,79.0,79.0729,-0.0729
Lp,79.0,78.8359,0.1641
Lp,78.9,78.8414,0.0586
Lp,79.0,78.8414,0.1586
Lp,79.3,79.2532,0.0468
Lp,79.5,79.2524,0.2476
Lp,80.2,80.0742,0.1258
Lp,80.3,80.0742,0.2258
Lp,79.9,79.775,0.125
Lp,80.1,79.8295,0.2705
Lp,80.2,79.8074,0.3926
Lp,80.3,79.8295,0.4705
Lp,79.8,79.8074,-0.0074
