Target,Feature,Label,SHAP_value,Feature_value
Ra,f,Fo2 (f),-0.1467,-1.3416
Ra,f,Fo2 (f),-0.158,-1.3416
Ra,f,Fo2 (f),-0.1525,-1.3416
Ra,f,Fo2 (f),-0.1563,-1.3416
Ra,f,Fo2 (f),-0.1568,-1.3416
Ra,f,Fo2 (f),-0.1519,-1.3416
Ra,f,Fo2 (f),-0.1548,-1.3416
Ra,f,Fo2 (f),-0.1467,-1.3416
Ra,f,Fo2 (f),-0.1582,-1.3416
Ra,f,Fo2 (f),-0.1395,-1.3416
Ra,f,Fo2 (f),-0.1556,-1.3416
Ra,f,Fo2 (f),-0.1462,-1.3416
Ra,f,Fo2 (f),-0.1471,-1.3416
Ra,f,Fo2 (f),-0.1511,-1.3416
Ra,f,Fo2 (f),-0.162,-1.3416
Ra,f,Fo2 (f),-0.1388,-1.3416
Ra,f,Fo2 (f),-0.137,-1.3416
Ra,f,Fo2 (f),-0.143,-1.3416
Ra,f,Fo2 (f),-0.1674,-1.3416
Ra,f,Fo2 (f),-0.1657,-1.3416
Ra,f,Fo2 (f),-0.1658,-1.3416
Ra,f,Fo2 (f),-0.1657,-1.3416
Ra,f,Fo2 (f),-0.1688,-1.3416
Ra,f,Fo2 (f),-0.182,-1.3416
Ra,f,Fo2 (f),-0.1684,-1.3416
Ra,f,Fo2 (f),-0.1474,-1.3416
Ra,f,Fo2 (f),-0.1814,-1.3416
Ra,f,Fo2 (f),-0.1634,-1.3416
Ra,f,Fo2 (f),-0.1567,-1.3416
Ra,f,Fo2 (f),-0.1571,-1.3416
Ra,f,Fo2 (f),-0.1494,-1.3416
Ra,f,Fo2 (f),-0.1687,-1.3416
Ra,f,Fo2 (f),-0.1646,-1.3416
Ra,f,Fo2 (f),-0.1329,-0.4472
Ra,f,Fo2 (f),-0.1394,-0.4472
Ra,f,Fo2 (f),-0.0902,-0.4472
Ra,f,Fo2 (f),-0.107,-0.4472
Ra,f,Fo2 (f),-0.1341,-0.4472
Ra,f,Fo2 (f),-0.1415,-0.4472
Ra,f,Fo2 (f),-0.1016,-0.4472
Ra,f,Fo2 (f),-0.1365,-0.4472
Ra,f,Fo2 (f),-0.1196,-0.4472
Ra,f,Fo2 (f),-0.1385,-0.4472
Ra,f,Fo2 (f),-0.1282,-0.4472
Ra,f,Fo2 (f),-0.1181,-0.4472
Ra,f,Fo2 (f),-0.1198,-0.4472
Ra,f,Fo2 (f),-0.1269,-0.4472
Ra,f,Fo2 (f),-0.1192,-0.4472
