Target,Actual,Predicted,Residual
Lp,76.9,77.0695,-0.1695
Lp,76.9,77.0695,-0.1695
Lp,77.1,77.0695,0.0305
Lp,77.0,77.0695,-0.0695
Lp,77.0,77.0695,-0.0695
Lp,76.9,77.0695,-0.1695
Lp,76.9,77.0695,-0.1695
Lp,77.1,77.0695,0.0305
Lp,77.0,77.0695,-0.0695
Lp,77.0,77.0695,-0.0695
Lp,76.9,77.0695,-0.1695
Lp,77.0,77.0695,-0.0695
Lp,77.0,77.0695,-0.0695
Lp,76.9,77.0695,-0.1695
Lp,76.8,77.0695,-0.2695
Lp,76.8,77.0695,-0.2695
Lp,77.0,77.1321,-0.1321
Lp,77.1,77.0695,0.0305
Lp,76.7,77.0695,-0.3695
Lp,77.0,77.0695,-0.0695
Lp,77.0,77.0695,-0.0695
Lp,76.9,77.0695,-0.1695
Lp,76.9,77.0695,-0.1695
Lp,77.0,77.0695,-0.0695
Lp,76.9,77.0652,-0.1652
Lp,76.8,77.0695,-0.2695
Lp,77.1,77.0695,0.0305
Lp,76.9,77.0695,-0.1695
Lp,78.5,78.1957,0.3043
Lp,78.4,78.2265,0.1735
Lp,78.5,78.1957,0.3043
Lp,78.5,78.1957,0.3043
Lp,78.5,78.2828,0.2172
Lp,78.2,78.1371,0.0629
Lp,78.4,78.4145,-0.0145
Lp,78.3,78.4456,-0.1456
Lp,78.2,78.4456,-0.2456
Lp,78.1,78.4456,-0.3456
Lp,78.2,78.4278,-0.2278
Lp,78.3,78.4278,-0.1278
Lp,78.2,78.4141,-0.2141
Lp,78.4,78.282,0.118
Lp,78.5,78.4283,0.0717
Lp,78.4,78.4125,-0.0125
Lp,78.1,78.4145,-0.3145
Lp,78.3,78.4145,-0.1145
Lp,78.2,78.4283,-0.2283
Lp,78.3,78.4145,-0.1145
Lp,77.9,78.4125,-0.5125
Lp,78.1,78.4125,-0.3125
Lp,78.5,78.282,0.218
Lp,78.8,78.2828,0.5172
Lp,78.2,78.1957,0.0043
Lp,78.4,78.1371,0.2629
