Target,Feature,Label,Grid_value,Avg_prediction
Ra,Ft,Fo9 (Ft),0.1088,6.5502
Ra,Ft,Fo9 (Ft),0.1718,6.5645
Ra,Ft,Fo9 (Ft),0.2348,6.5363
Ra,Ft,Fo9 (Ft),0.2979,6.5429
Ra,Ft,Fo9 (Ft),0.3609,6.5675
Ra,Ft,Fo9 (Ft),0.4239,6.6154
Ra,Ft,Fo9 (Ft),0.487,6.7065
Ra,Ft,Fo9 (Ft),0.55,6.6923
Ra,Ft,Fo9 (Ft),0.6131,6.7022
Ra,Ft,Fo9 (Ft),0.6761,6.7416
Ra,Ft,Fo9 (Ft),0.7391,6.7482
Ra,Ft,Fo9 (Ft),0.8022,6.7324
Ra,Ft,Fo9 (Ft),0.8652,6.7358
Ra,Ft,Fo9 (Ft),0.9282,6.7403
Ra,Ft,Fo9 (Ft),0.9913,6.7241
