Target,Feature,Label,SHAP_value,Feature_value
Ra,P,Fo6 (P),0.089,1.3035
Ra,P,Fo6 (P),0.1183,1.2919
Ra,P,Fo6 (P),0.0226,1.1642
Ra,P,Fo6 (P),0.05,1.3963
Ra,P,Fo6 (P),0.0535,1.4776
Ra,P,Fo6 (P),0.1044,1.4428
Ra,P,Fo6 (P),0.0978,1.4486
Ra,P,Fo6 (P),0.058,1.4021
Ra,P,Fo6 (P),0.0772,1.4834
Ra,P,Fo6 (P),0.0355,1.5124
Ra,P,Fo6 (P),0.1072,1.437
Ra,P,Fo6 (P),0.0608,1.4776
Ra,P,Fo6 (P),0.0828,1.4312
Ra,P,Fo6 (P),0.0993,1.6053
Ra,P,Fo6 (P),0.0468,1.5066
Ra,P,Fo6 (P),0.0428,1.495
Ra,P,Fo6 (P),0.0775,1.5821
Ra,P,Fo6 (P),0.1209,1.5647
Ra,P,Fo6 (P),0.1226,1.5763
Ra,P,Fo6 (P),0.0929,1.5472
Ra,P,Fo6 (P),0.0435,1.495
Ra,P,Fo6 (P),0.1096,1.4892
Ra,P,Fo6 (P),0.0594,1.3673
Ra,P,Fo6 (P),0.1163,1.466
Ra,P,Fo6 (P),0.0892,1.4544
Ra,P,Fo6 (P),0.1071,1.4079
Ra,P,Fo6 (P),0.0898,1.4312
Ra,P,Fo6 (P),0.1449,1.5066
Ra,P,Fo6 (P),0.1126,1.5588
Ra,P,Fo6 (P),0.0695,1.3615
Ra,P,Fo6 (P),0.0777,1.3731
Ra,P,Fo6 (P),0.1041,1.4892
Ra,P,Fo6 (P),0.1019,1.4776
Ra,P,Fo6 (P),0.0956,1.4021
Ra,P,Fo6 (P),0.1039,1.4544
Ra,P,Fo6 (P),0.1047,1.4544
Ra,P,Fo6 (P),0.018,1.8781
Ra,P,Fo6 (P),-0.0012,1.9187
Ra,P,Fo6 (P),-0.0008,1.9187
Ra,P,Fo6 (P),0.0014,1.9593
Ra,P,Fo6 (P),0.013,1.8026
Ra,P,Fo6 (P),-0.0079,1.6807
Ra,P,Fo6 (P),-0.0033,1.6517
Ra,P,Fo6 (P),-0.0227,1.7097
Ra,P,Fo6 (P),0.0039,1.6227
Ra,P,Fo6 (P),0.0089,1.6343
Ra,P,Fo6 (P),-0.0097,1.6807
Ra,P,Fo6 (P),0.0029,1.6343
Ra,P,Fo6 (P),0.0097,1.9129
Ra,P,Fo6 (P),0.0075,1.9245
Ra,P,Fo6 (P),0.0293,1.8723
Ra,P,Fo6 (P),0.0183,1.8781
Ra,P,Fo6 (P),0.0057,1.9187
Ra,P,Fo6 (P),0.0364,1.8955
Ra,P,Fo6 (P),0.0147,1.9013
Ra,P,Fo6 (P),0.0049,1.9419
Ra,P,Fo6 (P),0.0331,1.8548
Ra,P,Fo6 (P),0.0212,1.8607
Ra,P,Fo6 (P),0.0119,1.9477
Ra,P,Fo6 (P),0.0235,1.8607
Ra,P,Fo6 (P),0.03,1.9303
Ra,P,Fo6 (P),0.0001,1.9477
Ra,P,Fo6 (P),0.006,1.9419
Ra,P,Fo6 (P),0.0479,1.849
Ra,P,Fo6 (P),-0.0225,1.7039
Ra,P,Fo6 (P),0.0152,1.762
Ra,P,Fo6 (P),0.0499,1.849
Ra,P,Fo6 (P),0.0417,1.7852
Ra,P,Fo6 (P),0.0406,1.9419
Ra,P,Fo6 (P),0.0593,1.8374
Ra,P,Fo6 (P),0.0183,1.8955
Ra,P,Fo6 (P),0.0048,1.6807
Ra,P,Fo6 (P),-0.0066,1.9303
Ra,P,Fo6 (P),0.0579,1.8432
Ra,P,Fo6 (P),0.0096,1.6923
Ra,P,Fo6 (P),0.0202,1.6343
Ra,P,Fo6 (P),0.0198,1.762
Ra,P,Fo6 (P),-0.0031,1.6807
Ra,P,Fo6 (P),0.0306,1.8142
Ra,P,Fo6 (P),0.0388,1.8084
Ra,P,Fo6 (P),-0.0068,1.9013
Ra,P,Fo6 (P),0.037,1.8142
Ra,P,Fo6 (P),-0.0004,1.7097
Ra,P,Fo6 (P),-0.0118,1.7272
Ra,P,Fo6 (P),0.0147,1.8955
Ra,P,Fo6 (P),0.0053,1.7097
Ra,P,Fo6 (P),0.0045,1.7097
Ra,P,Fo6 (P),-0.0039,1.9303
Ra,P,Fo6 (P),0.0007,1.8665
Ra,P,Fo6 (P),0.0151,1.9825
Ra,P,Fo6 (P),0.0,1.9071
Ra,P,Fo6 (P),0.0139,2.0522
Ra,P,Fo6 (P),0.0001,1.9477
Ra,P,Fo6 (P),0.0536,1.9013
Ra,P,Fo6 (P),0.0764,1.8084
Ra,P,Fo6 (P),0.0552,1.9013
Ra,P,Fo6 (P),0.0318,1.7736
Ra,P,Fo6 (P),0.0803,1.8316
Ra,P,Fo6 (P),0.0348,1.82
Ra,P,Fo6 (P),-0.0047,1.6981
Ra,P,Fo6 (P),0.018,1.7562
Ra,P,Fo6 (P),0.0063,1.6923
Ra,SE,Fo7 (SE),-0.3915,0.3744
Ra,SE,Fo7 (SE),-0.4119,0.3977
Ra,SE,Fo7 (SE),-0.3785,0.3233
Ra,SE,Fo7 (SE),-0.3484,0.3326
Ra,SE,Fo7 (SE),-0.4039,0.3744
Ra,SE,Fo7 (SE),-0.3656,0.3419
Ra,SE,Fo7 (SE),-0.412,0.3698
Ra,SE,Fo7 (SE),-0.4598,0.407
Ra,SE,Fo7 (SE),-0.4606,0.3093
Ra,SE,Fo7 (SE),-0.463,0.2722
Ra,SE,Fo7 (SE),-0.4692,0.3233
Ra,SE,Fo7 (SE),-0.4793,0.3791
Ra,SE,Fo7 (SE),-0.4905,0.407
Ra,SE,Fo7 (SE),-0.466,0.3186
Ra,SE,Fo7 (SE),-0.4572,0.2861
Ra,SE,Fo7 (SE),-0.4683,0.3
Ra,SE,Fo7 (SE),-0.4612,0.3279
Ra,SE,Fo7 (SE),-0.4648,0.3047
Ra,SE,Fo7 (SE),-0.4675,0.3512
Ra,SE,Fo7 (SE),-0.4656,0.3093
Ra,SE,Fo7 (SE),-0.4551,0.221
Ra,SE,Fo7 (SE),-0.5267,0.5418
Ra,SE,Fo7 (SE),-0.44,0.1467
Ra,SE,Fo7 (SE),-0.4761,0.3698
